Category,Grade,Question,,,
College,12,"1. Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it.  If this sounds like you, then please share your story.

",,,
College,12,"2. The lessons we take from obstacles we encounter can be fundamental to later success. Recount a time when you faced a challenge, setback, or failure. How did it affect you, and what did you learn from the experience?

",,,
College,12,"3. Reflect on a time when you questioned or challenged a belief or idea.  What prompted your thinking? what was the outcome?

",,,
College,12,"4. Describe a problem you've solved or a problem you'd like to solve.  It can be an intellectual challenge, a research query, an ethichal dilemma- anything that is of personal importance, no matter the scale. Explain its significance to you and what steps you took or could be taken to identify a solution.

",,,
College,12,"5. Discuss an accomplishment, event, or realization that sparked a period of personal growth and a new understanding of yourself or others.

",,,
College,12,"6. Describe a topic, idea, or concept you find so engaging that it makes you lose all track of time.  Why does it captivate you? What or who do you turn to when you want to learn more?

",,,
College,12,"7. Share an essay on any topic of your choice. It can be on you've already written, one that responds to a different prompt, or one of your own design.

",,,
Other,9,"List three to five school activities in which you have actively participated. Following each activity, please note the number of semesters you were active. In addition to sports, this list could include clubs, class activities, performing groups, etc. Select one (1) activity and write in the spaces below, a brief statement about your experience and why it was valuable to you.
",,,
Other,9,"List no more than five (5) off campus activities in which you have been an active participant. You may go back as far as the ninth grade. After each activity, please note the number of years you were active. This list will include clubs, scouts, church groups, etc.
",,,
Other,9,"List jobs you may have held. Also, list the company for which you worked, the length of time you were employed and the hourly wage you were paid. Select one (1) of your jobs and in the space below and describe what you liked best about working in that capacity.
",,,
Other,9,"List not more then five (5) awards or honors you have received during your four years of high school. This list will include scholastic, athletic, service and departmental honors (Art, Music, etc.). After each honor, note the year in which it was awarded. Select one (1) award and in the space below, describe why you are most proud of receiving it.
",,,
Other,9,"List three (3) adjectives that best describe you personally and best describe you academically. First Line: Personally Second Line: Academically
",,,
Other,9,"What are your weaknesses? What have you done to overcome challenges?
",,,
Other,9,"If there is any discrepancy between your SAT/ACT/GPA and which is expected by any of these colleges/universities, please explain your reason for pursuing admission to this college/university. What else will make you stand out?
",,,
Other,9,"Colleges and universities want their incoming class to reflect a broad representation of talents and interest? What sets you apart from the other seniors? What will you bring to the campus and student body of the college/university you attend?
",,,
Other,9,"Do you have an intended major and, if so, what is it and what is it about that major that attracts you to it?
",,,
Other,9,"To your knowledge, do you have a historically disadvantaged background (i.e., low income for several years, first generation college students, inner-city or migrant family)? If yes, you must state why?
",,,
Other,9,"Why do you believe you should qualify for programs such as EOP (these programs were created to help students who may need additional assistance to become successful in college)? What services or assistance do you think you will need in order to succeed in college
",,,
Other,9,"Please discuss any barriers to achievement you have faced (i.e. living situation at home, transportation, etc.) Do you believe they will affect your performance in college?
",,,
Other,9,"Please add any information here so that the person recommending you may add something unique about you.
",,,
Other,9,"Are you the first person in your family to go to a 4-year university? (not including your brothers or sisters or cousins or aunt or uncle).
",,,
Other,9,"Do you and/or your family receive financial assistance or qualify for low income?
",,,
Other,9,"Do you qualify for free or reduced lunch?
",,,
Other,10,"List three to five school activities in which you have actively participated. Following each activity, please note the number of semesters you were active. In addition to sports, this list could include clubs, class activities, performing groups, etc. Select one (1) activity and write in the spaces below, a brief statement about your experience and why it was valuable to you.
",,,
Other,10,"List no more than five (5) off campus activities in which you have been an active participant. You may go back as far as the ninth grade. After each activity, please note the number of years you were active. This list will include clubs, scouts, church groups, etc.
",,,
Other,10,"List jobs you may have held. Also, list the company for which you worked, the length of time you were employed and the hourly wage you were paid. Select one (1) of your jobs and in the space below and describe what you liked best about working in that capacity.
",,,
Other,10,"List not more then five (5) awards or honors you have received during your four years of high school. This list will include scholastic, athletic, service and departmental honors (Art, Music, etc.). After each honor, note the year in which it was awarded. Select one (1) award and in the space below, describe why you are most proud of receiving it.
",,,
Other,10,"List three (3) adjectives that best describe you personally and best describe you academically. First Line: Personally Second Line: Academically
",,,
Other,10,"What are your weaknesses? What have you done to overcome challenges?
",,,
Other,10,"If there is any discrepancy between your SAT/ACT/GPA and which is expected by any of these colleges/universities, please explain your reason for pursuing admission to this college/university. What else will make you stand out?
",,,
Other,10,"Colleges and universities want their incoming class to reflect a broad representation of talents and interest? What sets you apart from the other seniors? What will you bring to the campus and student body of the college/university you attend?
",,,
Other,10,"Do you have an intended major and, if so, what is it and what is it about that major that attracts you to it?
",,,
Other,10,"To your knowledge, do you have a historically disadvantaged background (i.e., low income for several years, first generation college students, inner-city or migrant family)? If yes, you must state why?
",,,
Other,10,"Why do you believe you should qualify for programs such as EOP (these programs were created to help students who may need additional assistance to become successful in college)? What services or assistance do you think you will need in order to succeed in college
",,,
Other,10,"Please discuss any barriers to achievement you have faced (i.e. living situation at home, transportation, etc.) Do you believe they will affect your performance in college?
",,,
Other,10,"Please add any information here so that the person recommending you may add something unique about you.
",,,
Other,10,"Are you the first person in your family to go to a 4-year university? (not including your brothers or sisters or cousins or aunt or uncle).
",,,
Other,10,"Do you and/or your family receive financial assistance or qualify for low income?
",,,
Other,10,"Do you qualify for free or reduced lunch?
",,,
Other,11,"List three to five school activities in which you have actively participated. Following each activity, please note the number of semesters you were active. In addition to sports, this list could include clubs, class activities, performing groups, etc. Select one (1) activity and write in the spaces below, a brief statement about your experience and why it was valuable to you.
",,,
Other,11,"List no more than five (5) off campus activities in which you have been an active participant. You may go back as far as the ninth grade. After each activity, please note the number of years you were active. This list will include clubs, scouts, church groups, etc.
",,,
Other,11,"List jobs you may have held. Also, list the company for which you worked, the length of time you were employed and the hourly wage you were paid. Select one (1) of your jobs and in the space below and describe what you liked best about working in that capacity.
",,,
Other,11,"List not more then five (5) awards or honors you have received during your four years of high school. This list will include scholastic, athletic, service and departmental honors (Art, Music, etc.). After each honor, note the year in which it was awarded. Select one (1) award and in the space below, describe why you are most proud of receiving it.
",,,
Other,11,"List three (3) adjectives that best describe you personally and best describe you academically. First Line: Personally Second Line: Academically
",,,
Other,11,"What are your weaknesses? What have you done to overcome challenges?
",,,
Other,11,"If there is any discrepancy between your SAT/ACT/GPA and which is expected by any of these colleges/universities, please explain your reason for pursuing admission to this college/university. What else will make you stand out?
",,,
Other,11,"Colleges and universities want their incoming class to reflect a broad representation of talents and interest? What sets you apart from the other seniors? What will you bring to the campus and student body of the college/university you attend?
",,,
Other,11,"Do you have an intended major and, if so, what is it and what is it about that major that attracts you to it?
",,,
Other,11,"To your knowledge, do you have a historically disadvantaged background (i.e., low income for several years, first generation college students, inner-city or migrant family)? If yes, you must state why?
",,,
Other,11,"Why do you believe you should qualify for programs such as EOP (these programs were created to help students who may need additional assistance to become successful in college)? What services or assistance do you think you will need in order to succeed in college
",,,
Other,11,"Please discuss any barriers to achievement you have faced (i.e. living situation at home, transportation, etc.) Do you believe they will affect your performance in college?
",,,
Other,11,"Please add any information here so that the person recommending you may add something unique about you.
",,,
Other,11,"Are you the first person in your family to go to a 4-year university? (not including your brothers or sisters or cousins or aunt or uncle).
",,,
Other,11,"Do you and/or your family receive financial assistance or qualify for low income?
",,,
Other,11,"Do you qualify for free or reduced lunch?
",,,
Other,12,"List three to five school activities in which you have actively participated. Following each activity, please note the number of semesters you were active. In addition to sports, this list could include clubs, class activities, performing groups, etc. Select one (1) activity and write in the spaces below, a brief statement about your experience and why it was valuable to you.
",,,
Other,12,"List no more than five (5) off campus activities in which you have been an active participant. You may go back as far as the ninth grade. After each activity, please note the number of years you were active. This list will include clubs, scouts, church groups, etc.
",,,
Other,12,"List jobs you may have held. Also, list the company for which you worked, the length of time you were employed and the hourly wage you were paid. Select one (1) of your jobs and in the space below and describe what you liked best about working in that capacity.
",,,
Other,12,"List not more then five (5) awards or honors you have received during your four years of high school. This list will include scholastic, athletic, service and departmental honors (Art, Music, etc.). After each honor, note the year in which it was awarded. Select one (1) award and in the space below, describe why you are most proud of receiving it.
",,,
Other,12,"List three (3) adjectives that best describe you personally and best describe you academically. First Line: Personally Second Line: Academically
",,,
Other,12,"What are your weaknesses? What have you done to overcome challenges?
",,,
Other,12,"If there is any discrepancy between your SAT/ACT/GPA and which is expected by any of these colleges/universities, please explain your reason for pursuing admission to this college/university. What else will make you stand out?
",,,
Other,12,"Colleges and universities want their incoming class to reflect a broad representation of talents and interest? What sets you apart from the other seniors? What will you bring to the campus and student body of the college/university you attend?
",,,
Other,12,"Do you have an intended major and, if so, what is it and what is it about that major that attracts you to it?
",,,
Other,12,"To your knowledge, do you have a historically disadvantaged background (i.e., low income for several years, first generation college students, inner-city or migrant family)? If yes, you must state why?
",,,
Other,12,"Why do you believe you should qualify for programs such as EOP (these programs were created to help students who may need additional assistance to become successful in college)? What services or assistance do you think you will need in order to succeed in college
",,,
Other,12,"Please discuss any barriers to achievement you have faced (i.e. living situation at home, transportation, etc.) Do you believe they will affect your performance in college?
",,,
Other,12,"Please add any information here so that the person recommending you may add something unique about you.
",,,
Other,12,"Are you the first person in your family to go to a 4-year university? (not including your brothers or sisters or cousins or aunt or uncle).
",,,
Other,12,"Do you and/or your family receive financial assistance or qualify for low income?
",,,
Other,12,"Do you qualify for free or reduced lunch?
",,,
College,11,"The student will be applying to the following colleges:
",,,
College,12,"The student will be applying to the following colleges:
",,,
Other,9,"List any volunteer, extracurricular activities, or work experience in which you are or have been involved in the past two years.
",,,
Other,9,"Why would you like to attend college? Discuss your career and personal goals. Are there any particular circumstances, school experiences, or persons that influenced your preparation or motivation to attend college (e.g., cultural/financial background, family, teachers, schools you attended)? Please explain.
",,,
Other,9,"Briefly discuss your academic background. Did you utilize any additional support at your high school, such as tutoring? Do your grades in high school and/or college reflect your academic ability or potential?
",,,
Other,9,"Briefly describe your family’s economic background. Include information about your financial challenges.
",,,
Other,9,"Please tell us more about yourself. Is there any additional information you would like EOP to consider in determining your admission to the program?
",,,
Other,9,"What qualities best describe you?
",,,
Other,9,"To your knowledge, does you have a historically disadvantaged background (i.e., low income for several years, first- generation college student, inner-city or migrant family)?
",,,
Other,10,"List any volunteer, extracurricular activities, or work experience in which you are or have been involved in the past two years.
",,,
Other,10,"Why would you like to attend college? Discuss your career and personal goals. Are there any particular circumstances, school experiences, or persons that influenced your preparation or motivation to attend college (e.g., cultural/financial background, family, teachers, schools you attended)? Please explain.
",,,
Other,10,"Briefly discuss your academic background. Did you utilize any additional support at your high school, such as tutoring? Do your grades in high school and/or college reflect your academic ability or potential?
",,,
Other,10,"Briefly describe your family’s economic background. Include information about your financial challenges.
",,,
Other,10,"Please tell us more about yourself. Is there any additional information you would like EOP to consider in determining your admission to the program?
",,,
Other,10,"What qualities best describe you?
",,,
Other,10,"To your knowledge, does you have a historically disadvantaged background (i.e., low income for several years, first- generation college student, inner-city or migrant family)?
",,,
Other,11,"List any volunteer, extracurricular activities, or work experience in which you are or have been involved in the past two years.
",,,
Other,11,"Why would you like to attend college? Discuss your career and personal goals. Are there any particular circumstances, school experiences, or persons that influenced your preparation or motivation to attend college (e.g., cultural/financial background, family, teachers, schools you attended)? Please explain.
",,,
Other,11,"Briefly discuss your academic background. Did you utilize any additional support at your high school, such as tutoring? Do your grades in high school and/or college reflect your academic ability or potential?
",,,
Other,11,"Briefly describe your family’s economic background. Include information about your financial challenges.
",,,
Other,11,"Please tell us more about yourself. Is there any additional information you would like EOP to consider in determining your admission to the program?
",,,
Other,11,"What qualities best describe you?
",,,
Other,11,"To your knowledge, does you have a historically disadvantaged background (i.e., low income for several years, first- generation college student, inner-city or migrant family)?
",,,
Other,12,"List any volunteer, extracurricular activities, or work experience in which you are or have been involved in the past two years.
",,,
Other,12,"Why would you like to attend college? Discuss your career and personal goals. Are there any particular circumstances, school experiences, or persons that influenced your preparation or motivation to attend college (e.g., cultural/financial background, family, teachers, schools you attended)? Please explain.
",,,
Other,12,"Briefly discuss your academic background. Did you utilize any additional support at your high school, such as tutoring? Do your grades in high school and/or college reflect your academic ability or potential?
",,,
Other,12,"Briefly describe your family’s economic background. Include information about your financial challenges.
",,,
Other,12,"Please tell us more about yourself. Is there any additional information you would like EOP to consider in determining your admission to the program?
",,,
Other,12,"What qualities best describe you?
",,,
Other,12,"To your knowledge, does you have a historically disadvantaged background (i.e., low income for several years, first- generation college student, inner-city or migrant family)?
",,,
Other,10,"1. Describe an example of your leadership experience in which you have positively inlfuenced others, helped resolve disputes or contribute to group efforts over time.

",,,
Other,10,"2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few.  Describe how you express your creative side.

",,,
Other,10,"3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time?

",,,
Other,10,"4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced.

",,,
Other,10,"5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge.  How has this challenge affected your academic achievement?

",,,
Other,10,"6. Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom.

",,,
Other,10,"7. What have you done to make your school or your community a better place?

",,,
Other,10,"8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California?

",,,
Other,11,"1. Describe an example of your leadership experience in which you have positively inlfuenced others, helped resolve disputes or contribute to group efforts over time.

",,,
Other,11,"2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few.  Describe how you express your creative side.

",,,
Other,11,"3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time?

",,,
Other,11,"4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced.

",,,
Other,11,"5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge.  How has this challenge affected your academic achievement?

",,,
Other,11,"6. Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom.

",,,
Other,11,"7. What have you done to make your school or your community a better place?

",,,
Other,11,"8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California?

",,,
Other,12,"1. Describe an example of your leadership experience in which you have positively inlfuenced others, helped resolve disputes or contribute to group efforts over time.

",,,
Other,12,"2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few.  Describe how you express your creative side.

",,,
Other,12,"3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time?

",,,
Other,12,"4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced.

",,,
Other,12,"5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge.  How has this challenge affected your academic achievement?

",,,
Other,12,"6. Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom.

",,,
Other,12,"7. What have you done to make your school or your community a better place?

",,,
Other,12,"8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California?

",,,
Other,11,What is your career goal?,,,
Other,11,"Identify post-secondary options you feel will best prepare you for your career goal. (i.e. entering the military, going to college, apprenticeship, trade school, community college).",,,
Other,11,"Please list specific colleges, universities, trade school or military branch that you have identified as an option to prepare you for your career goal as a result of your research.  ",,,
Other,9,"What topics are you interested in learning more about in advisory. Use the scale to rate your interest. 1=not interested and 5=very interested
",,,
Other,9,"Are there any other topics you would be interested in learning more about?
",,,
Other,10,"What topics are you interested in learning more about in advisory. Use the scale to rate your interest. 1=not interested and 5=very interested
",,,
Other,10,"Are there any other topics you would be interested in learning more about?
",,,
Other,12,What is your full legal name? Please also list your preferred name (if different from legal name),,,
Other,12,Please list your preferred method(s) of contact:,,,
Other,12,Honors: Please indicate which years you received specific honors/recognition:,,,
Other,12,What are three words/phrases that a friend and/or family member would use to describe you?,,,
Other,12,Please describe the academic experience that has most strongly influenced your high school experience and the type of person you are today:,,,
Other,12,Describe the best advice you have ever received (can be from anyone in your lifetime):,,,
Other,12,Please check all that interests you at this time:,,,
Other,12,Describe an experience where you have been a leader. How did you demonstrate leadership?,,,
Other,12,What are your career goals? Where do you hope to see yourself in 5 years from now? ,,,
Other,12,List at least two WTHS teachers/staff and/or outside community members that you may ask to write you a letter of recommendation:,,,
Other,12,"Community Service is NOT mandatory; however, can lead to scholarships and stands out to admission reps. Please tell us about your community service experience:",,,
Other,12,Please indicate the test(s) you plan to take in the future:,,,
Other,12,"List all activities (i.e. sports, community service, school events, community events) that you have participated in since 9th grade:",,,
Other,12,"Currently, what is your first-choice game plan after high school?",,,
Other,12,Please list all colleges to which you have applied.,,,
Other,13,What is your full legal name? Please also list your preferred name (if different from legal name),,,
Other,13,Please list your preferred method(s) of contact:,,,
Other,13,Honors: Please indicate which years you received specific honors/recognition:,,,
Other,13,What are three words/phrases that a friend and/or family member would use to describe you?,,,
Other,13,Please describe the academic experience that has most strongly influenced your high school experience and the type of person you are today:,,,
Other,13,Describe the best advice you have ever received (can be from anyone in your lifetime):,,,
Other,13,Please check all that interests you at this time:,,,
Other,13,Describe an experience where you have been a leader. How did you demonstrate leadership?,,,
Other,13,What are your career goals? Where do you hope to see yourself in 5 years from now? ,,,
Other,13,List at least two WTHS teachers/staff and/or outside community members that you may ask to write you a letter of recommendation:,,,
Other,13,"Community Service is NOT mandatory; however, can lead to scholarships and stands out to admission reps. Please tell us about your community service experience:",,,
Other,13,Please indicate the test(s) you plan to take in the future:,,,
Other,13,"List all activities (i.e. sports, community service, school events, community events) that you have participated in since 9th grade:",,,
Other,13,"Currently, what is your first-choice game plan after high school?",,,
Other,13,Please list all colleges to which you have applied.,,,
Other,14,What is your full legal name? Please also list your preferred name (if different from legal name),,,
Other,14,Please list your preferred method(s) of contact:,,,
Other,14,Honors: Please indicate which years you received specific honors/recognition:,,,
Other,14,What are three words/phrases that a friend and/or family member would use to describe you?,,,
Other,14,Please describe the academic experience that has most strongly influenced your high school experience and the type of person you are today:,,,
Other,14,Describe the best advice you have ever received (can be from anyone in your lifetime):,,,
Other,14,Please check all that interests you at this time:,,,
Other,14,Describe an experience where you have been a leader. How did you demonstrate leadership?,,,
Other,14,What are your career goals? Where do you hope to see yourself in 5 years from now? ,,,
Other,14,List at least two WTHS teachers/staff and/or outside community members that you may ask to write you a letter of recommendation:,,,
Other,14,"Community Service is NOT mandatory; however, can lead to scholarships and stands out to admission reps. Please tell us about your community service experience:",,,
Other,14,Please indicate the test(s) you plan to take in the future:,,,
Other,14,"List all activities (i.e. sports, community service, school events, community events) that you have participated in since 9th grade:",,,
Other,14,"Currently, what is your first-choice game plan after high school?",,,
Other,14,Please list all colleges to which you have applied.,,,
Careers,9,Have you been employed at any time during high school?,,,
Careers,9,How would you best describe your employment?,,,
Careers,9,Employer contact information (phone or e-mail):,,,
Careers,9,Hours per week (on average):,,,
Careers,9,Have you completed any community service hours during your high school career?,,,
Careers,9,How many hours have you completed?,,,
Careers,9,Please list any organizations with/for which you have completed community service hours:,,,
Careers,9,"Have you completed any industry certifications through your coursework, employment, or other program? (e.g., CPR, First Aid, Food Handler, ECE Gateways, Comptia IFT+, etc.)",,,
Careers,9,Please select which certifications you have completed:,,,
Careers,9,Please select which of the following pertain to you:,,,
Careers,10,Have you been employed at any time during high school?,,,
Careers,10,How would you best describe your employment?,,,
Careers,10,Employer contact information (phone or e-mail):,,,
Careers,10,Hours per week (on average):,,,
Careers,10,Have you completed any community service hours during your high school career?,,,
Careers,10,How many hours have you completed?,,,
Careers,10,Please list any organizations with/for which you have completed community service hours:,,,
Careers,10,"Have you completed any industry certifications through your coursework, employment, or other program? (e.g., CPR, First Aid, Food Handler, ECE Gateways, Comptia IFT+, etc.)",,,
Careers,10,Please select which certifications you have completed:,,,
Careers,10,Please select which of the following pertain to you:,,,
Careers,11,Have you been employed at any time during high school?,,,
Careers,11,How would you best describe your employment?,,,
Careers,11,Employer contact information (phone or e-mail):,,,
Careers,11,Hours per week (on average):,,,
Careers,11,Have you completed any community service hours during your high school career?,,,
Careers,11,How many hours have you completed?,,,
Careers,11,Please list any organizations with/for which you have completed community service hours:,,,
Careers,11,"Have you completed any industry certifications through your coursework, employment, or other program? (e.g., CPR, First Aid, Food Handler, ECE Gateways, Comptia IFT+, etc.)",,,
Careers,11,Please select which certifications you have completed:,,,
Careers,11,Please select which of the following pertain to you:,,,
Careers,12,Have you been employed at any time during high school?,,,
Careers,12,How would you best describe your employment?,,,
Careers,12,Employer contact information (phone or e-mail):,,,
Careers,12,Hours per week (on average):,,,
Careers,12,Have you completed any community service hours during your high school career?,,,
Careers,12,How many hours have you completed?,,,
Careers,12,Please list any organizations with/for which you have completed community service hours:,,,
Careers,12,"Have you completed any industry certifications through your coursework, employment, or other program? (e.g., CPR, First Aid, Food Handler, ECE Gateways, Comptia IFT+, etc.)",,,
Careers,12,Please select which certifications you have completed:,,,
Careers,12,Please select which of the following pertain to you:,,,
Other,11,You will see a dashboard at the top of your Homepage with various tabs available to you. Which is not a tab? ,,,
Other,11,Under which tab do you find your Account information? ,,,
Other,11,Under which section can you set goals in Naviance Student? ,,,
Other,11,Choose TWO places where you can find tasks that have been assigned to you.,,,
Other,11,Go to the Careers tab at the top of the page and choose Explore Clusters and Pathways. Select a Cluster and click the button to Read Details. You can see all of the following information EXCEPT:,,,
Other,11,"If this Career Cluster is one that you would like to revisit for further searching, you can save it to your Favorite Careers and Clusters list. What icon should you select to save it? ",,,
Other,11,"From the homepage, under which tab can you find the Resume builder tool? ",,,
Other,11,Go to the Careers tab and search for two careers. What two careers did you search? ,,,
Other,11,"If you wanted to take the Strengths Explorer assessment, which tab should you navigate to? ",,,
Other,11,"Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes, or contributed to group efforts over time.
",,,
Other,11,"Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side.
",,,
Other,11,"What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time?
",,,
Other,11,"Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced.
",,,
Other,11,"Describe the most significant challenge you have faced and steps you have taken to overcome this challenge. How has this challenge affected your academic achievement?
",,,
Other,11,"Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. 

",,,
Other,11,"What have you done to make your school or your community a better place?
",,,
Other,11,"Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California?

",,,
Other,12,"Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes, or contributed to group efforts over time.
",,,
Other,12,"Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side.
",,,
Other,12,"What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time?
",,,
Other,12,"Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced.
",,,
Other,12,"Describe the most significant challenge you have faced and steps you have taken to overcome this challenge. How has this challenge affected your academic achievement?
",,,
Other,12,"Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. 

",,,
Other,12,"What have you done to make your school or your community a better place?
",,,
Other,12,"Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California?

",,,
College,10,"
1.	Some students have a background, identity, interest or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.
",,,
College,10,"The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what lessons did you learn?
",,,
College,10,"Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?
",,,
College,10,"Describe a problem you've solved or a problem you'd like to solve. It can be an intellectual challenge, a research query, an ethical dilemma-anything that is of personal importance, no matter the scale. Explain its significance to you and what steps you took or could be taken to identify a solution.
",,,
College,10,"
5.	Discuss an accomplishment or event, formal or informal, that marked your transition from childhood to adulthood within your culture, community, or family.
",,,
College,11,"
1.	Some students have a background, identity, interest or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.
",,,
College,11,"The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what lessons did you learn?
",,,
College,11,"Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?
",,,
College,11,"Describe a problem you've solved or a problem you'd like to solve. It can be an intellectual challenge, a research query, an ethical dilemma-anything that is of personal importance, no matter the scale. Explain its significance to you and what steps you took or could be taken to identify a solution.
",,,
College,11,"
5.	Discuss an accomplishment or event, formal or informal, that marked your transition from childhood to adulthood within your culture, community, or family.
",,,
College,12,"
1.	Some students have a background, identity, interest or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.
",,,
College,12,"The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what lessons did you learn?
",,,
College,12,"Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?
",,,
College,12,"Describe a problem you've solved or a problem you'd like to solve. It can be an intellectual challenge, a research query, an ethical dilemma-anything that is of personal importance, no matter the scale. Explain its significance to you and what steps you took or could be taken to identify a solution.
",,,
College,12,"
5.	Discuss an accomplishment or event, formal or informal, that marked your transition from childhood to adulthood within your culture, community, or family.
",,,
Other,9,"I take notes in class
",,,
Other,9,"I ask questions in class
",,,
Other,9,"I am concerned about my teachers expectations of me
",,,
Other,10,"I take notes in class
",,,
Other,10,"I ask questions in class
",,,
Other,10,"I am concerned about my teachers expectations of me
",,,
Other,12,"Which Peer Counselor positions interest you the most? Select from at least two different areas; for example don't select all choices from Billboard Crew only. On the text box to the right of the position, rank them from 1-3, with 1 being your top choice:
",,,
Other,9,"Do you know what websites to go to in order to search for scholarships?
",,,
Other,9,"If yes, name at least two websites.
",,,
Other,9,"What area of study are you most interested in?
",,,
Other,9,"How many clubs on campus or enrichment programs do you participate in?
",,,
Other,9,"How many volunteer hours have you completed?
",,,
Other,9,"Would you be interested in fly-in"" programs to visit different colleges outside of California? ( A fly-in program is a program in which a college pays for your flight to come and visit their campus and usually spend the weekend on campus.)",,,
"
Other,9,For financial aid purposes for college", who do you live with?,,,,
"
Other,9,To your knowledge", are you a U.S. citizen or a U.S. resident? (The answer to this question will be kept COMPLETELY confidential and will be something that only your counselor will have knowledge about. The reason we want to know this is because we want to make sure we work with you closely for financial aid purposes for college, as the process will be different for you. This information will also help in making sure we send specific scholarships to you.),,,
"
Other,10,Do you know what websites to go to in order to search for scholarships?",,,,,
"
Other,10,If yes", name at least two websites.,,,,
"
Other,10,What area of study are you most interested in?",,,,,
"
Other,10,How many clubs on campus or enrichment programs do you participate in?",,,,,
"
Other,10,How many volunteer hours have you completed?",,,,,
"
Other,10,Would you be interested in ""fly-in"" programs to visit different colleges outside of California? ( A fly-in program is a program in which a college pays for your flight to come and visit their campus and usually spend the weekend on campus.)",,,,,
"
Other,10,For financial aid purposes for college", who do you live with?,,,,
"
Other,10,To your knowledge", are you a U.S. citizen or a U.S. resident? (The answer to this question will be kept COMPLETELY confidential and will be something that only your counselor will have knowledge about. The reason we want to know this is because we want to make sure we work with you closely for financial aid purposes for college, as the process will be different for you. This information will also help in making sure we send specific scholarships to you.),,,
"
Other,11,Do you know what websites to go to in order to search for scholarships?",,,,,
"
Other,11,If yes", name at least two websites.,,,,
"
Other,11,What area of study are you most interested in?",,,,,
"
Other,11,How many clubs on campus or enrichment programs do you participate in?",,,,,
"
Other,11,How many volunteer hours have you completed?",,,,,
"
Other,11,Would you be interested in ""fly-in"" programs to visit different colleges outside of California? ( A fly-in program is a program in which a college pays for your flight to come and visit their campus and usually spend the weekend on campus.)",,,,,
"
Other,11,For financial aid purposes for college", who do you live with?,,,,
"
Other,11,To your knowledge", are you a U.S. citizen or a U.S. resident? (The answer to this question will be kept COMPLETELY confidential and will be something that only your counselor will have knowledge about. The reason we want to know this is because we want to make sure we work with you closely for financial aid purposes for college, as the process will be different for you. This information will also help in making sure we send specific scholarships to you.),,,
"
Other,12,Do you know what websites to go to in order to search for scholarships?",,,,,
"
Other,12,If yes", name at least two websites.,,,,
"
Other,12,What area of study are you most interested in?",,,,,
"
Other,12,How many clubs on campus or enrichment programs do you participate in?",,,,,
"
Other,12,How many volunteer hours have you completed?",,,,,
